<font size="7">周末</font>	<b><font size="5">zhōumò</font></b><br>weekend	textbook,lesson_1
<font size="7">打算</font>	<b><font size="5">dǎsuàn</font></b><br>to plan<br>to intend<br>to calculate<br>plan<br>intention<br>calculation<br>CL:個|个[ge4]	textbook,lesson_1
<font size="7">啊</font>	<b><font size="5">a</font></b><br>modal particle ending sentence, showing affirmation, approval, or consent	textbook,lesson_1
<font size="7">跟</font>	<b><font size="5">gēn</font></b><br>heel<br>to follow closely<br>to go with<br>(of a woman) to marry sb<br>with<br>compared with<br>to<br>towards<br>and (joining two nouns)	textbook,lesson_1
<font size="7">一直</font>	<b><font size="5">yīzhí</font></b><br>straight (in a straight line)<br>continuously<br>always<br>from the beginning of ... up to ...<br>all along	textbook,lesson_1
<font size="7">游戏</font>	<b><font size="5">yóuxì</font></b><br>game<br>CL:場|场[chang3]<br>to play	textbook,lesson_1
<font size="7">作业</font>	<b><font size="5">zuòyè</font></b><br>school assignment<br>homework<br>work<br>task<br>operation<br>CL:個|个[ge4]<br>to operate	textbook,lesson_1
<font size="7">着急</font>	<b><font size="5">zháojí</font></b><br>to worry<br>to feel anxious<br>Taiwan pr. [zhao1 ji2]	textbook,lesson_1
<font size="7">复习</font>	<b><font size="5">fùxí</font></b><br>variant of 復習|复习[fu4 xi2]	textbook,lesson_1
<font size="7">南</font>	<b><font size="5">nán</font></b><br>south	textbook,lesson_1
<font size="7">北方</font>	<b><font size="5">běifāng</font></b><br>north<br>the northern part a country<br>China north of the Yellow River	textbook,lesson_1
<font size="7">面包</font>	<b><font size="5">miànbāo</font></b><br>bread<br>CL:片[pian4],袋[dai4],塊|块[kuai4]	textbook,lesson_1
<font size="7">带</font>	<b><font size="5">dài</font></b><br>band<br>belt<br>girdle<br>ribbon<br>tire<br>area<br>zone<br>region<br>CL:條|条[tiao2]<br>to wear<br>to carry<br>to take along<br>to bear (i.e. to have)<br>to lead<br>to bring<br>to look after<br>to raise	textbook,lesson_1
<font size="7">地图</font>	<b><font size="5">dìtú</font></b><br>map<br>CL:張|张[zhang1],本[ben3]	textbook,lesson_1
<font size="7">搬</font>	<b><font size="5">bān</font></b><br>to move (i.e. relocate oneself)<br>to move (sth relatively heavy or bulky)<br>to shift<br>to copy indiscriminately	textbook,lesson_1
<font size="7">腿</font>	<b><font size="5">tǔi</font></b><br>hip bone<br>old variant of 腿[tui3]	textbook,lesson_2
<font size="7">疼</font>	<b><font size="5">téng</font></b><br>(it) hurts<br>sore<br>to love dearly	textbook,lesson_2
<font size="7">脚</font>	<b><font size="5">jiǎo</font></b><br>variant of 角[jue2]<br>role	textbook,lesson_2
<font size="7">树</font>	<b><font size="5">shù</font></b><br>tree<br>CL:棵[ke1]<br>to cultivate<br>to set up	textbook,lesson_2
<font size="7">容易</font>	<b><font size="5">róngyì</font></b><br>easy<br>likely<br>liable (to)	textbook,lesson_2
<font size="7">难</font>	<b><font size="5">nán</font></b><br>disaster<br>distress<br>to scold	textbook,lesson_2
<font size="7">太太</font>	<b><font size="5">tàitài</font></b><br>married woman<br>Mrs.<br>Madam<br>wife<br>CL:個|个[ge4],位[wei4]	textbook,lesson_2
<font size="7">秘书</font>	<b><font size="5">mìshū</font></b><br>secretary	textbook,lesson_2
<font size="7">经历</font>	<b><font size="5">jīnglì</font></b><br>experience<br>CL:個|个[ge4],次[ci4]<br>to experience<br>to go through	textbook,lesson_2
<font size="7">办公室</font>	<b><font size="5">bàngōngshì</font></b><br>office<br>business premises<br>bureau<br>CL:間|间[jian1]	textbook,lesson_2
<font size="7">辆</font>	<b><font size="5">liàng</font></b><br>classifier for vehicles	textbook,lesson_2
<font size="7">楼</font>	<b><font size="5">lóu</font></b><br>house with more than 1 story<br>storied building<br>floor<br>CL:層|层[ceng2],座[zuo4],棟|栋[dong4]	textbook,lesson_2
<font size="7">拿</font>	<b><font size="5">ná</font></b><br>to hold<br>to seize<br>to catch<br>to apprehend<br>to take<br>(used in the same way as 把[ba3]: to mark the following noun as a direct object)	textbook,lesson_2
<font size="7">把</font>	<b><font size="5">bǎ</font></b><br>handle	textbook,lesson_2
<font size="7">伞</font>	<b><font size="5">sǎn</font></b><br>damask silk<br>variant of 傘|伞[san3]	textbook,lesson_2
<font size="7">胖</font>	<b><font size="5">pàng</font></b><br>fat<br>plump	textbook,lesson_2
<font size="7">其实</font>	<b><font size="5">qíshí</font></b><br>actually<br>in fact<br>really	textbook,lesson_2
<font size="7">瘦</font>	<b><font size="5">shòu</font></b><br>thin<br>to lose weight<br>(of clothing) tight<br>(of meat) lean<br>(of land) unproductive	textbook,lesson_2
<font size="7">还是</font>	<b><font size="5">huánshì</font></b><br>or<br>still<br>nevertheless<br>had better	textbook,lesson_3
<font size="7">爬山</font>	<b><font size="5">páshān</font></b><br>to climb a mountain<br>to mountaineer<br>hiking<br>mountaineering	textbook,lesson_3
<font size="7">小心</font>	<b><font size="5">xiǎoxīn</font></b><br>to be careful<br>to take care	textbook,lesson_3
<font size="7">条</font>	<b><font size="5">tiáo</font></b><br>strip<br>item<br>article<br>clause (of law or treaty)<br>classifier for long thin things (ribbon, river, road, trousers etc)	textbook,lesson_3
<font size="7">裤子</font>	<b><font size="5">kùzǐ</font></b><br>trousers<br>pants<br>CL:條|条[tiao2]	textbook,lesson_3
<font size="7">记得</font>	<b><font size="5">jìdé</font></b><br>to remember	textbook,lesson_3
<font size="7">衬衫</font>	<b><font size="5">chènshān</font></b><br>shirt<br>blouse<br>CL:件[jian4]	textbook,lesson_3
<font size="7">元</font>	<b><font size="5">yuán</font></b><br>currency unit (esp. Chinese yuan)<br>first<br>original<br>primary<br>fundamental<br>constituent<br>part<br>era (of a reign)<br>(math.) argument<br>variable<br>(Tw) (geology) eon	textbook,lesson_3
<font size="7">新鲜</font>	<b><font size="5">xīnxiān</font></b><br>fresh (experience, food etc)<br>freshness<br>novel<br>uncommon	textbook,lesson_3
<font size="7">甜</font>	<b><font size="5">tián</font></b><br>sweet	textbook,lesson_3
<font size="7">只</font>	<b><font size="5">zhǐ</font></b><br>classifier for birds and certain animals, one of a pair, some utensils, vessels etc	textbook,lesson_3
<font size="7">放</font>	<b><font size="5">fàng</font></b><br>to put<br>to place<br>to release<br>to free<br>to let go<br>to let out<br>to set off (fireworks)	textbook,lesson_3
<font size="7">饮料</font>	<b><font size="5">yǐnliào</font></b><br>drink<br>beverage	textbook,lesson_3
<font size="7">或者</font>	<b><font size="5">huòzhě</font></b><br>or<br>possibly<br>maybe<br>perhaps	textbook,lesson_3
<font size="7">舒服</font>	<b><font size="5">shūfú</font></b><br>comfortable<br>feeling well	textbook,lesson_3
<font size="7">话</font>	<b><font size="5">huà</font></b><br>old variant of 話|话[hua4]	textbook,lesson_3
<font size="7">绿</font>	<b><font size="5">lv̀</font></b><br>green	textbook,lesson_3
<font size="7">比赛</font>	<b><font size="5">bǐsài</font></b><br>competition (sports etc)<br>match<br>CL:場|场[chang3],次[ci4]	textbook,lesson_4
<font size="7">照片</font>	<b><font size="5">zhàopiàn</font></b><br>photograph<br>picture<br>CL:張|张[zhang1],套[tao4],幅[fu2]	textbook,lesson_4
<font size="7">年级</font>	<b><font size="5">niánjí</font></b><br>grade<br>year (in school, college etc)<br>CL:個|个[ge4]	textbook,lesson_4
<font size="7">又</font>	<b><font size="5">yòu</font></b><br>(once) again<br>also<br>both... and...<br>and yet<br>(used for emphasis) anyway	textbook,lesson_4
<font size="7">聪明</font>	<b><font size="5">cōngmíng</font></b><br>intelligent<br>clever<br>bright<br>smart<br>acute (of sight and hearing)	textbook,lesson_4
<font size="7">热情</font>	<b><font size="5">rèqíng</font></b><br>cordial<br>enthusiastic<br>passion<br>passionate<br>passionately	textbook,lesson_4
<font size="7">努力</font>	<b><font size="5">nǔlì</font></b><br>great effort<br>to strive<br>to try hard	textbook,lesson_4
<font size="7">总是</font>	<b><font size="5">zǒngshì</font></b><br>always	textbook,lesson_4
<font size="7">回答</font>	<b><font size="5">húidá</font></b><br>to reply<br>to answer<br>the answer<br>CL:個|个[ge4]	textbook,lesson_4
<font size="7">站</font>	<b><font size="5">zhàn</font></b><br>station<br>to stand<br>to halt<br>to stop<br>branch of a company or organization<br>website	textbook,lesson_4
<font size="7">饿</font>	<b><font size="5">è</font></b><br>to be hungry<br>hungry<br>to starve (sb)	textbook,lesson_4
<font size="7">超市</font>	<b><font size="5">chāoshì</font></b><br>supermarket<br>abbr. for 超級市場|超级市场<br>CL:家[jia1]	textbook,lesson_4
<font size="7">蛋糕</font>	<b><font size="5">dàngāo</font></b><br>cake<br>CL:塊|块[kuai4],個|个[ge4]	textbook,lesson_4
<font size="7">年轻</font>	<b><font size="5">niánqīng</font></b><br>young	textbook,lesson_4
<font size="7">认真</font>	<b><font size="5">rènzhēn</font></b><br>conscientious<br>earnest<br>serious<br>to take seriously<br>to take to heart	textbook,lesson_4
<font size="7">客人</font>	<b><font size="5">kèrén</font></b><br>visitor<br>guest<br>customer<br>client<br>CL:位[wei4]	textbook,lesson_4
<font size="7">发烧</font>	<b><font size="5">fāshāo</font></b><br>to have a high temperature (from illness)<br>to have a fever	textbook,lesson_5
<font size="7">为</font>	<b><font size="5">wèi</font></b><br>variant of 為|为[wei4], because of<br>for<br>to	textbook,lesson_5
<font size="7">照顾</font>	<b><font size="5">zhàogù</font></b><br>to take care of<br>to show consideration<br>to attend to<br>to look after	textbook,lesson_5
<font size="7">用</font>	<b><font size="5">yòng</font></b><br>to use<br>to employ<br>to have to<br>to eat or drink<br>expense or outlay<br>usefulness<br>hence<br>therefore	textbook,lesson_5
