<font size="7">照相机</font>	<b><font size="5">zhàoxiāngjī</font></b><br>camera<br>CL:個|个[ge4],架[jia4],部[bu4],台[tai2],隻|只[zhi1]	textbook
<font size="7">被</font>	<b><font size="5">bèi</font></b><br>quilt<br>by<br>(indicates passive-voice clauses)<br>(literary) to cover<br>to meet with	textbook
<font size="7">难过</font>	<b><font size="5">nánguò</font></b><br>to feel sad<br>to feel unwell<br>(of life) to be difficult	textbook
<font size="7">东</font>	<b><font size="5">dōng</font></b><br>east<br>host (i.e. sitting on east side of guest)<br>landlord	textbook
<font size="7">信用卡</font>	<b><font size="5">xìnyòngqiǎ</font></b><br>credit card	textbook
<font size="7">关心</font>	<b><font size="5">guānxīn</font></b><br>to be concerned about<br>to care about	textbook
<font size="7">只有</font>	<b><font size="5">zhǐyǒu</font></b><br>only	textbook
<font size="7">成绩</font>	<b><font size="5">chéngjī</font></b><br>achievement<br>performance records<br>grades<br>CL:項|项[xiang4],個|个[ge4]	textbook
<font size="7">碗</font>	<b><font size="5">wǎn</font></b><br>bowl<br>cup<br>CL:隻|只[zhi1],個|个[ge4]	textbook
<font size="7">分</font>	<b><font size="5">fēn</font></b><br>part<br>share<br>ingredient<br>component	textbook
<font size="7">解决</font>	<b><font size="5">jiějué</font></b><br>to settle (a dispute)<br>to resolve<br>to solve<br>to dispose of<br>to dispatch	textbook
<font size="7">试</font>	<b><font size="5">shì</font></b><br>to test<br>to try<br>experiment<br>examination<br>test	textbook
<font size="7">真正</font>	<b><font size="5">zhēnzhèng</font></b><br>genuine<br>real<br>true<br>genuinely	textbook
<font size="7">多么</font>	<b><font size="5">duōyāo</font></b><br>how (wonderful etc)<br>what (a great idea etc)<br>however (difficult it may be etc)<br>(in interrogative sentences) how (much etc)<br>to what extent	textbook
